TS                       Open     High      Low    Close Bias       BullFVG BearFVG BullIFVG BearIFVG
----------------------------------------------------------------------------------------------------
2025-12-02T00:05:00+00:00 25390.50 25393.50 25389.50 25391.25 Bullish          0       2        0        0
2025-12-02T00:06:00+00:00 25391.75 25401.00 25391.75 25396.75 Bullish          1       2        0        0
2025-12-02T00:07:00+00:00 25396.50 25405.25 25396.50 25401.00 Bullish          2       2        0        0
2025-12-02T00:08:00+00:00 25401.25 25401.50 25396.75 25400.75 Bullish          2       2        0        0
2025-12-02T00:09:00+00:00 25652.25 25652.25 25652.25 25652.25 Bullish          3       0        2        0
2025-12-02T00:10:00+00:00 25402.25 25407.50 25402.25 25405.75 Bearish          4       0        2        0
2025-12-02T00:11:00+00:00 25405.25 25410.00 25404.00 25407.75 Bullish          4       1        2        0
2025-12-02T00:12:00+00:00 25409.25 25409.25 25404.00 25404.75 Bearish          3       1        2        1
2025-12-02T00:13:00+00:00   250.50   251.20   250.50   251.20 Bearish          0       2        0        4
2025-12-02T00:14:00+00:00 25658.00 25658.00 25658.00 25658.00 Bullish          1       0        2        0
2025-12-02T00:15:00+00:00 25403.75 25409.75 25403.75 25406.75 Bearish          1       0        1        1
2025-12-02T00:16:00+00:00 25406.50 25408.50 25405.00 25405.75 Bearish          1       1        1        1
2025-12-02T00:17:00+00:00 25406.00 25406.00 25400.25 25404.25 Bearish          1       1        1        1
2025-12-02T00:18:00+00:00 25403.75 25407.50 25403.50 25405.50 Bearish          1       1        1        1
2025-12-02T00:19:00+00:00 25658.00 25658.00 25658.00 25658.00 Bullish          2       1        1        1
2025-12-02T00:20:00+00:00 25405.00 25405.25 25401.50 25403.00 Bearish          1       1        1        2
2025-12-02T00:21:00+00:00 25402.25 25403.75 25401.50 25402.50 Bearish          1       2        1        2
2025-12-02T00:22:00+00:00 25401.00 25404.00 25399.25 25403.25 Bearish          1       2        1        2
2025-12-02T00:23:00+00:00 25402.50 25403.50 25396.75 25396.75 Bearish          1       2        1        2
2025-12-02T00:24:00+00:00 25397.50 25398.50 25395.00 25397.00 Bearish          1       3        1        2
2025-12-02T00:25:00+00:00   252.40   252.40   252.40   252.40 Bearish          1       4        1        2
2025-12-02T00:26:00+00:00 25398.75 25399.50 25397.50 25398.75 Bullish          1       3        2        2
2025-12-02T00:27:00+00:00 25649.25 25649.50 25649.25 25649.50 Bullish          2       2        3        2
2025-12-02T00:28:00+00:00 25397.50 25401.75 25394.50 25398.25 Bearish          2       2        2        2
2025-12-02T00:29:00+00:00 25397.25 25402.50 25397.25 25402.25 Bullish          2       3        2        2
2025-12-02T00:30:00+00:00 25403.00 25407.00 25402.00 25404.25 Bullish          3       3        2        2
2025-12-02T00:31:00+00:00 25403.25 25404.50 25401.00 25403.25 Bullish          3       3        2        2
2025-12-02T00:32:00+00:00 25403.25 25408.00 25403.00 25407.50 Bullish          3       3        2        2
2025-12-02T00:33:00+00:00 25406.75 25414.50 25406.00 25414.50 Bullish          4       3        2        2
2025-12-02T00:34:00+00:00 25415.00 25416.00 25412.75 25415.25 Bullish          5       3        2        2
2025-12-02T00:35:00+00:00 25414.75 25417.00 25413.25 25415.25 Bullish          5       3        2        2
2025-12-02T00:36:00+00:00 25666.75 25666.75 25666.75 25666.75 Bullish          6       0        5        0
2025-12-02T00:37:00+00:00 25417.50 25418.75 25413.00 25415.75 Bearish          5       0        5        1
2025-12-02T00:38:00+00:00 25415.25 25415.50 25410.50 25412.75 Bearish          5       1        5        1
2025-12-02T00:39:00+00:00 25413.25 25413.50 25411.00 25412.50 Bearish          5       1        5        1
2025-12-02T00:40:00+00:00 25412.25 25413.00 25409.25 25409.75 Bearish          5       1        5        1
2025-12-02T00:41:00+00:00 25408.50 25412.25 25406.50 25412.25 Bearish          5       1        5        1
2025-12-02T00:42:00+00:00 25412.50 25413.25 25411.00 25412.00 Bearish          5       1        5        1
2025-12-02T00:43:00+00:00 25662.50 25665.50 25661.50 25661.50 Bullish          6       1        5        1
2025-12-02T00:44:00+00:00 25411.50 25412.00 25407.75 25411.00 Bearish          5       1        5        2
2025-12-02T00:45:00+00:00 25659.75 25664.00 25659.75 25664.00 Bullish          5       1        5        1
2025-12-02T00:46:00+00:00 25664.00 25664.00 25663.75 25663.75 Bullish          6       1        5        1
2025-12-02T00:47:00+00:00 25408.00 25409.25 25405.25 25406.75 Bearish          4       2        4        3
2025-12-02T00:48:00+00:00 25407.00 25410.75 25404.25 25410.25 Bullish          4       3        4        3
2025-12-02T00:49:00+00:00 25410.00 25411.75 25408.50 25408.75 Bullish          4       3        4        3
2025-12-02T00:50:00+00:00 25660.75 25660.75 25660.00 25660.00 Bullish          5       2        5        2
2025-12-02T00:51:00+00:00 25662.50 25662.50 25662.50 25662.50 Bullish          6       2        5        2
2025-12-02T00:52:00+00:00 25407.75 25408.00 25405.25 25406.50 Bearish          4       3        4        4
2025-12-02T00:53:00+00:00 25406.25 25409.00 25406.00 25407.75 Bearish          4       4        4        4
2025-12-02T00:54:00+00:00 25660.50 25660.50 25656.25 25656.25 Bullish          5       4        4        4
2025-12-02T00:55:00+00:00 25406.00 25408.50 25404.75 25408.50 Bearish          5       4        4        4
2025-12-02T00:56:00+00:00 25408.50 25410.50 25407.75 25409.50 Bullish          5       5        4        4
2025-12-02T00:57:00+00:00 25663.25 25663.50 25663.25 25663.25 Bullish          6       2        7        2
2025-12-02T00:58:00+00:00 25411.25 25411.50 25408.50 25408.50 Bearish          6       2        5        2
2025-12-02T00:59:00+00:00 25662.00 25662.25 25661.00 25662.25 Bullish          6       3        5        2
